Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
3;1060283;Поступление зарплаты на счет;Ремонт;1;0.27;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;38;43;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
3;1060303;2НДФЛ;Покупка недвижимости/ строительство;1;0.06;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060323;Поступление зарплаты на счет;Ремонт;1;0.39;мужской;1;0;среднее-специальное;рабочий;>250;0;82;49;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060343;Поступление зарплаты на счет;Покупка автомобиля;1;0.32;мужской;1;0;высшее;специалист;>250;0;108;43;Информационные технологии;ООО;женат / замужем;0;0;0;0;0;0.2530864198;1;0;0;0;0.3333333333;2;4;121;6;1;0;23;101;1;1;0;0;0;0;0
3;1060363;2НДФЛ;Ремонт;1;0.52;мужской;0;0;среднее;рабочий;>250;0;155;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060383;Форма банка (без печати работодателя);Ремонт;0;0.38;женский;1;0;высшее;специалист;>250;0;200;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060403;Поступление зарплаты на счет;Покупка автомобиля;0;0.42;мужской;2;0;высшее;специалист;>250;0;6;29;Торговля;ООО;женат / замужем;18;11;3;2;2;0;1;1;0;0;0.3;3;7;80;10;0;1;1;36;0;0;0;0;0;0;0
3;1060423;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;1;0;среднее-специальное;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060443;2НДФЛ;Лечение;1;0.49;женский;1;0;незаконченное высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060463;2НДФЛ;Ремонт;1;0.23;мужской;0;0;среднее-специальное;рабочий;>250;1;54;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1060483;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
